gene_id,sample_001,sample_002
SLC10A2,98,114
DEFA5,96,129
DPEP1,84,110
CD79A,109,129
LINC00668,105,112
IRF4,80,114
FCGR2A,108,99
OLFM4,93,122
XPNPEP2,87,150
HCAR2,110,114
DEFA6,120,137
CCL2,109,104
SLC5A12,104,101
FRMD1,108,128
GBP4,107,120
COL15A1,96,123
MZB1,101,130
IGLC2,101,126
CR1,96,144
MS4A10,117,130
AVPR1A,87,135
COL12A1,106,118
CD55,117,101
PDZK1,86,133
ABCG2,102,122
SPINK4,108,143
CYP3A4,117,126
REG3G,108,111
NAALADL1,99,123
COL18A1,94,123
FOS,107,117
CCL21,114,102
CCL25,92,117
PTGS2,91,117
PAX5,86,109
PLAU,112,112
FABP6,90,122
CYP4F11,93,131
CD177,93,110
SERPINE1,104,119
COL5A1,97,127
CHIT1,113,134
C4B,87,95
IGLC3,91,119
HLA-V,100,129
FCRLA,74,135
PI15,103,114
CSF3R,92,120
CFI,114,121
SULT2A1,111,114
COL3A1,106,128
TCL1A,105,125
LTF,94,127
ICAM1,108,106
SLC6A4,117,108
MT1G,95,97
FCRL3,88,102
COL4A1,102,122
APOC3,93,120
VWF,106,125
CD79B,123,118
ITGA5,97,108
MGAM,111,108
FAM3B,105,119
FCRL5,101,114
C4BPA,81,118
FAP,99,132
ALDOB,107,118
CD19,107,128
ZG16,102,117
UGT2A3,119,128
C4A,99,97
FCGR1A,101,125
IGHD,103,130
SULT1A2,90,127
COL1A2,90,103
COL14A1,108,136
TNR,101,116
NCF2,99,121
IL21R,110,123
SLC13A2,104,100
SLC2A3,102,120
PLA2G2D,107,128
C4BPB,99,115
MNDA,100,115
GSTM1,111,128
PDPN,112,131
JAK3,98,125
B4GALNT2,112,140
SLC15A1,102,130
IL7R,105,99
BMP3,98,105
STAT1,94,125
PDE4B,96,113
ANXA1,96,112
COL6A1,96,125
PRRX1,114,111
GSTA2,105,134
MASP1,113,115
KCND3,100,99
ITGB2,98,129
L1TD1,111,107
ALDH1A2,108,112
CREB3L3,96,105
CA1,90,124
RGS5,106,121
SLC7A9,79,117
VCAM1,110,121
TNFRSF6B,80,121
ADAMTS4,92,120
PRKCB,96,122
IGHA2,92,118
DAPP1,101,120
SLC28A2,94,111
FADS2,92,139
CHP2,98,110
C1R,106,120
INSL5,87,119
GBA3,108,123
SULT1A1,118,126
SERPINB5,103,111
COL6A3,108,117
MYEOV,92,119
DES,100,107
ITGAX,98,121
PTGDS,87,117
TDRD1,89,130
CFB,126,98
LYPD8,90,118
CCL3,99,146
SDR16C5,99,105
TIMP1,93,106
IGSF9,90,117
THY1,97,125
IL2RA,110,125
FCRL1,105,122
FN1,105,121
HOXD13,108,116
STC1,86,106
MT1F,103,114
OSMR,105,115
NTS,123,112
IL1R1,95,145
CCL4,106,128
MS4A12,112,101
TM4SF1,95,123
CD40,87,113
PXDN,94,114
SLC37A2,118,107
COL5A2,115,120
MUC12,112,127
TLR10,92,127
ADM,110,127
FDCSP,91,133
TNFAIP2,120,132
OTOP2,106,123
ADAMTS2,110,112
KYNU,100,135
TRPM6,101,148
F13A1,83,123
TDO2,108,116
NLRP2,94,109
CAPN13,99,126
UGT2B17,94,113
PRAC1,104,101
C2,96,114
CA7,106,128
ZC3H12A,106,135
NOTCH3,107,120
PCSK9,99,112
LAMP3,98,132
ADAM19,94,142
TFF1,91,115
THBS2,89,133
DUOXA1,99,129
SLC17A8,93,119
VNN1,100,117
CPB1,87,129
IL33,99,106
IFITM1,81,108
ST3GAL4,96,109
HAPLN3,82,131
RASSF2,110,130
MUC4,99,109
HSD3B2,95,148
CEACAM7,97,134
FGR,83,93
PLA2G7,123,112
NNMT,104,116
CA2,102,113
C6,103,126
LILRB4,101,124
PRKY,102,122
PLAUR,89,122
AMN,110,120
DERL3,101,123
LUM,97,131
PDZK1IP1,96,149
SPOCK2,106,130
NR1H4,85,118
MME,118,115
SLC44A5,92,117
SPP1,76,121
REG4,90,119
CXCR5,117,116
CDHR5,89,114
PSMB9,101,120
CLU,98,109
CD38,96,127
UGT2B15,108,99
FSTL1,110,132
AADAC,109,135
SRGN,113,124
MYO3A,99,115
SLC23A1,100,102
TFPI2,87,114
KLHL6,78,130
ANPEP,87,105
C2CD4A,96,134
OAS2,93,117
WDFY4,95,122
PTPRC,92,123
COL8A1,108,142
CD83,94,109
CPS1,92,119
MEF2C,98,115
ITGAL,119,115
IGHA1,106,132
CCL22,106,106
PDGFRB,116,121
SLC25A34,84,117
BEST4,120,116
AKR1B15,117,132
MMP2,81,128
FCRL4,99,132
LAX1,107,130
VPREB3,110,110
TM4SF5,99,119
IGLL5,121,122
PLB1,120,126
THEMIS2,96,134
SLC27A6,99,104
NEU4,97,110
KHK,87,144
HLA-DOA,108,114
GREM2,105,127
BLK,91,113
SLC11A1,93,138
FCER2,108,131
CD180,95,131
CKB,90,117
SELP,106,119
ABCA8,94,112
TRIM29,102,116
GPNMB,95,130
CD53,103,133
GRAPL,106,116
LTB,131,108
CARD11,92,121
PITX2,122,126
FGF7,101,111
MYH11,106,120
CPXM1,95,102
SLC30A10,82,123
SPIB,95,110
ANGPTL2,98,108
CA4,106,131
ITLN1,115,131
CLCA4,84,115
FOSB,104,123
ACSL1,95,120
ACTG2,83,130
GZMB,105,112
CD37,103,109
S1PR1,93,125
ENPEP,104,115
C7,81,112
COL4A2,106,117
BRINP3,109,120
INPP5D,89,104
COL6A2,92,98
ENPP7,97,126
SERPINB9,100,111
FAM163B,98,125
TAGAP,106,123
APOE,94,114
TM4SF4,120,118
CTHRC1,84,119
IFI6,79,138
ADIRF,100,131
WNT5A,87,128
FADS6,97,137
PADI2,104,125
CLDN18,102,120
NPTX2,110,115
RFTN1,106,117
FCGR2B,99,113
CYP2B6,101,109
MS4A8,98,103
CD274,79,108
BACH2,96,113
APOL3,94,131
ABCB1,126,131
GDPD2,99,115
IKZF3,94,106
CFH,93,125
ADAMTS1,95,110
CHI3L2,118,121
CD93,110,109
RHOH,96,117
LILRA6,81,126
HCG4,104,119
SP140,110,115
PLXNB3,131,117
TGM2,104,101
FMO1,90,125
SPARCL1,94,160
TRIM40,87,112
C1S,117,125
AQP7,87,127
CYBB,102,117
NTRK2,98,121
SFRP1,105,118
CD28,97,116
CEACAM6,116,115
PHLDA1,107,115
RAB31,115,118
UNC13D,100,123
CCL23,105,124
CTLA4,125,116
BTK,89,107
CEACAM18,83,124
APOL1,103,108
ACSL4,85,118
GAS1,110,123
MXRA5,87,104
LCK,104,127
PYY,113,149
FSCN1,100,130
ALDH1L1,102,127
C11orf86,107,101
SLC39A5,98,126
P2RX5,109,144
LILRB2,104,131
TPSB2,100,113
CEACAM20,99,115
SLC28A1,94,111
TRAF1,97,124
CHGA,122,114
PIK3CD,82,113
HLA-DQA1,77,94
FABP2,90,98
CRISPLD2,94,122
SPARC,95,122
PRDM1,126,121
PIGZ,113,98
SLA,94,111
SLC7A5,94,103
LTBP2,83,110
PTAFR,108,126
LOXL2,88,96
CLEC17A,94,105
BEST2,107,108
TYMP,80,141
HLA-DOB,108,112
IGLC4,113,97
IKZF1,114,124
IL10RA,113,119
EMILIN1,106,111
SLC17A4,93,120
SLC23A3,103,121
TNFSF11,119,127
TRIM22,90,145
LILRA5,110,140
NAT8,100,127
ACE,105,116
IRAK3,83,138
CNN1,114,122
IGLC7,78,117
PCOLCE,97,130
PLCG2,102,116
PPP1R18,95,132
TRIB2,103,132
SASH3,106,112
CTSE,110,119
SEMA7A,127,117
IL16,87,116
MEP1A,94,124
SLAMF7,103,125
APOBEC3A,83,128
LIMD2,113,125
UBE2L6,87,135
DYSF,99,131
TIMP3,100,110
MSN,97,129
CHST15,117,144
PPP1R16B,89,117
VSIG2,83,106
ADAM8,117,139
ITGAM,93,142
ALOX5,95,117
CEACAM5,83,130
LINC00955,83,125
SLC5A11,94,136
CDH5,92,114
CHRDL1,97,100
SUSD2,108,107
CNTFR,96,127
TM4SF20,107,137
HLA-DQB1,97,136
GBP3,102,123
CCL13,122,104
DOC2B,96,128
CCDC80,87,123
SNX20,90,120
CIDEC,114,118
SLC16A9,105,113
EDN2,75,117
NLRC5,100,114
CDHR2,100,115
AEBP1,105,116
ISG15,76,136
FLNC,115,139
SULF1,101,134
LRG1,120,116
OTC,97,126
LBH,107,131
FADS1,82,128
HSD3B1,133,129
VIP,109,133
GPD1,99,107
AIM2,106,114
SLC26A2,106,123
FAM216B,97,102
CIITA,100,125
LGALS2,92,127
TNS1,98,114
ADH1B,111,125
SOX8,95,112
RASSF5,115,94
LEF1,102,110
LCN15,105,110
MMRN1,104,104
MUC17,95,125
BCL2A1,93,116
TCF4,105,119
HBEGF,80,126
CLC,110,133
LPCAT1,95,139
HLA-DQB2,83,135
LSAMP,102,117
RETNLB,98,123
GJA1,107,126
CCR1,108,102
CHST2,84,118
SLC9A3,104,116
LYZ,114,105
ST3GAL1,108,134
CD48,106,112
CDH11,95,111
SLPI,101,140
FIBIN,104,124
MST1L,97,121
GPR183,95,127
MMP28,99,113
SLC6A20,91,114
MCAM,82,150
TFF2,115,133
ADH1C,85,101
MRC2,87,134
HLA-G,86,137
CD163,100,106
TREML2,95,118
RAC2,96,123
SLC14A2,87,125
ZBP1,98,133
MOGAT2,111,120
ATF3,87,114
TNFRSF13C,103,124
DDIT4,104,105
CLDN1,96,116
UGT1A1,118,114
TSIX,97,119
ORAI2,106,115
NID1,109,115
BST2,105,115
IER3,99,126
DPP10,97,109
CLDN2,90,118
HSD11B1,99,117
MEFV,110,92
LILRB3,121,116
FOXQ1,104,152
SLC2A2,111,122
DCN,108,104
DHDH,111,121
SAMSN1,105,137
TFCP2L1,95,124
SOWAHA,88,129
ARHGAP25,96,120
IFI16,112,117
IRF1,91,136
IL23A,84,118
SIGLEC14,122,134
ST6GAL1,108,118
CXCL12,100,116
BCL6,98,121
SPINK1,100,116
AFF2,94,118
LEFTY1,112,115
TAP1,98,136
THBS1,85,139
TRPV3,95,136
CTSL,118,112
RSAD2,88,141
HLA-F,88,124
PFKFB3,121,121
RGS1,90,123
TGFBI,104,123
POU2F2,92,147
NCKAP1L,100,111
PDCD1,99,99
TSPAN11,81,137
IL22RA2,92,123
IFI44L,90,117
DCHS2,112,110
PLA2G12B,94,116
SLC51B,98,115
DOK3,98,124
PLA1A,82,126
CYTIP,99,106
SYNPO2,104,117
REEP6,85,114
OTOP3,94,109
SPNS2,105,111
IGFBP7,94,116
MT1E,118,115
RHBDF2,95,144
TNFRSF9,104,114
ABI3BP,95,126
ANKRD22,112,127
ENPP3,96,113
IGKV1D-8,105,115
NOX1,97,134
LRAT,106,122
GCNT4,99,116
SLC5A8,101,111
RAB17,92,114
TMEM252,90,107
ONECUT2,97,137
C8G,96,121
VNN2,110,114
PLEKHO2,98,115
FBLN2,101,110
NAMPT,112,119
CHST11,95,102
TRIM31,114,131
INPP5J,105,154
COL5A3,100,106
TMC8,99,123
ELMO1,99,102
KDR,108,135
CXCR2P1,88,124
IL1R2,97,120
TPSAB1,105,112
PAPLN,96,122
LDHD,111,126
ACSF2,83,109
CCL24,95,106
LRRC15,115,120
DHRS11,104,134
P2RY8,91,125
CPA3,108,136
LILRA1,89,137
LYPD5,96,120
TUBAL3,80,127
DSG3,98,108
TNXB,97,122
SCNN1B,96,106
C17orf78,100,117
DRAM1,109,116
TNFRSF17,99,106
CD72,108,125
ARHGAP30,110,113
FMNL1,107,116
LCP1,106,112
CORO1A,92,113
UGT2B7,97,114
EFEMP1,105,114
SLC5A1,109,116
GRIN2B,104,121
COL2A1,72,112
TCF7,93,121
BIRC3,89,122
TNF,95,119
CASP1,101,138
TSC22D3,92,107
IL12RB1,107,115
PTPN7,102,123
G0S2,98,125
ALPL,100,116
LAMA1,93,104
VAV1,109,129
SLC52A1,90,121
GP2,101,129
HCLS1,119,99
DOCK2,98,111
FKBP11,89,125
DUSP4,109,140
IGLC6,105,133
GGT1,91,137
SLC52A3,106,129
NXPE4,98,134
SLC2A5,91,122
CCR4,98,113
MYO1F,88,106
TNFSF13B,90,120
GPT,89,121
LILRB1,90,142
NLRP6,111,125
AKR1C1,84,112
SCD,100,124
NFKBIZ,109,113
PCDH17,100,103
DPYSL3,99,109
ARHGAP9,89,141
CNR2,93,135
SLFN11,109,125
NR4A3,91,138
IFITM3,94,128
NAPSB,96,119
SERPINF1,112,124
ACE2,99,137
CCL5,81,99
LCP2,105,115
TM6SF2,97,129
PLVAP,84,123
MYO1A,85,111
TLR4,116,135
TNFRSF10C,92,125
SBNO2,99,120
CD1C,126,114
AOC1,95,144
FERMT2,106,116
ISG20,111,123
LMOD1,95,122
TNFAIP3,118,131
SLC1A3,96,123
LAMA4,121,108
SNX10,105,113
FBN1,102,130
SOCS1,117,122
RCSD1,90,142
B4GALNT3,91,101
RASGRP2,132,120
PCDH11X,94,99
FCRL2,111,113
ACTA2,103,118
FABP1,106,129
ITGA8,97,132
IFIT3,94,133
XAF1,96,112
MSLN,100,118
TIFA,95,121
C1QB,121,145
IGFBP2,110,131
FILIP1L,107,127
RBMS1,93,119
FFAR2,91,120
RIMS4,98,118
NFAM1,109,125
SCIN,121,112
AGT,94,97
HOXA13,115,115
C5AR1,95,115
CD84,111,117
CCL4L2,110,121
TMEM163,99,119
FKBP10,97,108
VIPR1,104,104
VCAN,101,116
GCG,101,109
CD86,101,115
BATF2,110,117
TNFAIP8,106,100
TRAF3IP3,101,105
HDAC7,111,134
QKI,116,105
LRRC18,96,142
PLAT,95,134
CYP2J2,92,108
CYP4F12,85,124
RRM2,98,127
NFKB2,93,135
PREX1,108,144
HCK,103,122
SCNN1G,102,123
TMEM82,93,124
GIMAP4,106,123
CP,126,115
LPL,92,94
C1QA,110,110
APLNR,117,114
LINC00861,101,128
HAPLN1,117,128
GBP2,103,127
FLNA,102,117
DDR2,116,107
CD44,81,117
FGF10,99,132
HEG1,94,140
PLXND1,111,112
STC2,94,125
CD27,112,121
HLA-DPA1,111,121
ITGA4,94,116
IL27RA,104,116
ADAMTS9,114,126
STOM,108,131
ITK,97,123
CYP2C18,115,136
STAP1,117,125
DENND5A,89,138
NFATC1,94,121
LAMC1,100,113
KCNAB2,108,102
CD36,88,103
THNSL2,113,114
HDAC9,96,128
ISLR,89,122
THBD,91,126
RARRES1,96,119
SLC3A1,99,139
TLR8,114,122
TBC1D10C,115,131
SST,110,118
FYN,103,96
CD6,109,104
WIPF1,111,132
SH3PXD2B,92,142
TMEM132A,102,139
LDLR,109,121
LGI2,91,139
HGF,86,114
PHGR1,92,106
SLC39A4,121,106
LRRK2,102,137
CLEC10A,106,128
FMNL3,95,136
TRAC,90,108
CCDC88B,104,117
USP2,96,127
GPR176,103,126
GPR15,110,126
GPC6,105,130
SLC1A2,103,122
LGALS9C,82,120
RSPO3,99,100
CYP2D6,108,117
BTNL8,94,119
SPINK5,91,124
KCNN4,97,117
GALNTL6,96,123
CCR2,90,133
PDLIM3,112,115
MEOX1,109,135
P2RY10,107,117
RAMP3,94,134
CALD1,91,115
OASL,86,102
ENTPD8,83,122
B3GNT8,108,122
ARHGDIB,105,135
GFPT2,103,114
IL17REL,106,111
CNR1,93,127
ABCC2,86,124
CLDN15,104,127
RARRES2,96,109
ARID5A,91,112
CLDN3,102,106
NR4A1,107,122
CAV1,104,98
CYP2C9,104,129
AQP12B,85,122
FLT1,109,131
NPTX1,108,132
TPM2,87,144
FLRT2,106,121
BASP1,104,120
TLR2,81,98
GEM,112,116
SAMD9L,111,108
MLXIPL,102,123
LCT,107,115
RASGRP3,100,98
ACY3,105,129
FLI1,89,121
RASA3,107,129
NCOA7,98,143
DNAH8,99,113
CD80,100,126
PBLD,96,123
ERRFI1,104,129
MAFF,95,117
CALCRL,106,105
CD52,102,118
HK3,108,121
CELSR1,99,116
GJB3,107,134
SFRP5,95,114
CDK14,97,116
BACE2,115,132
RGS19,111,123
DPT,107,137
VIM,88,110
GOLT1A,102,113
ITIH5,108,126
CHGB,96,125
HHIP,84,124
MGP,96,125
FBLN1,94,115
MFGE8,117,118
SLFN5,112,125
CAPN9,106,124
BTNL3,101,120
HTRA1,96,127
ITPKA,115,125
IL2RB,108,130
EGR3,90,100
SEMA4D,102,123
PLTP,92,122
EDN3,95,118
ETS1,103,139
LAMA5,94,144
DAB1,89,109
IGSF6,99,135
PIK3AP1,99,136
HSD17B2,113,109
IGLV1-50,91,116
ISX,106,106
CLMP,96,138
TRBC2,94,116
ALPK2,109,113
CPNE5,103,138
PTGFR,105,121
F2R,107,129
URAD,102,131
SYNM,104,140
FGFR1,85,120
GPX2,86,113
NRP2,108,136
EVL,96,102
ST6GAL2,112,132
BTN3A3,95,122
HSPA6,106,120
ANTXR1,105,106
LAMC3,108,106
CSF1,82,131
AREG,109,128
SHANK3,93,139
PIM3,101,124
FLVCR1,108,143
PARVG,110,111
STRIP2,100,131
RND1,109,130
GABRP,105,123
TLR9,112,138
IYD,121,111
ATP8B2,107,126
CPA2,98,119
B3GNT7,76,141
TRHDE,85,105
MFSD2A,91,109
NOD2,95,124
PAQR5,119,106
NCF1,104,123
SIK1,110,118
SLAMF6,83,147
SEMA3B,89,119
APOBEC1,117,116
MCOLN2,97,138
CLEC2D,108,142
SLC19A3,111,125
GZMK,94,125
ALDOC,88,100
TMEM47,81,133
MB,106,140
SELPLG,106,117
HVCN1,111,110
SLC7A11,112,127
PGM5,118,95
FCER1G,75,132
PCDHA4,97,117
CLIC4,108,117
TMPRSS15,108,120
CA12,87,116
ARHGEF6,81,101
SLC38A5,96,123
CSF1R,94,111
CHAD,112,127
PDK4,105,123
KCNH6,90,115
AKR1B10,98,120
CHN2,94,111
TPH1,97,119
PKLR,99,116
FCAMR,106,121
FGD3,88,101
S1PR3,103,138
ROBO1,99,119
ICOS,97,128
COL22A1,113,115
PRTG,112,118
TMEM158,93,139
LAIR1,96,110
DUSP1,96,108
TNFSF8,102,104
ENPP2,93,108
SLC22A5,93,123
PRODH,85,113
RHOBTB2,89,124
LYN,104,123
ZG16B,97,114
SHBG,101,107
CLIC6,109,117
SCAMP5,111,124
FHL1,105,128
PRSS22,99,133
BHLHE40,109,125
MEOX2,91,138
DUSP5,102,117
VSIG4,112,113
LGALS9B,117,121
HIF1A,110,127
SLC9A2,101,110
SORBS1,89,103
OLFML2B,106,97
ANXA6,117,116
ADCY7,93,115
KCNN3,109,117
HLA-L,100,128
CD4,103,112
APOBEC3G,110,132
GLDN,107,113
DUSP2,119,139
ZEB2,117,112
GFRA1,103,114
EPHA2,96,102
FAM78A,91,120
RDX,100,120
CES3,97,131
CLEC7A,104,120
HAVCR1,103,103
WWTR1,103,111
TFF3,96,122
STEAP4,121,138
SCN9A,112,130
F2RL2,110,128
TMEM220,116,110
ELOVL5,98,109
IFI27,91,129
PIK3CG,93,132
FGFR3,110,125
SDK1,108,138
HOXD10,86,134
NUP210,121,133
RHOB,116,126
PTP4A3,114,130
ANGPTL4,104,100
CYTH4,106,122
SDC2,105,130
STX11,101,103
HLA-DRB1,111,133
DCHS1,82,135
SLIT3,100,129
JSRP1,113,116
PTPN13,98,114
LIMK1,124,120
PARP15,104,109
JAM3,110,112
ZEB1,98,134
MUC20,112,125
LINC00278,104,129
AFF3,89,117
NELL2,108,137
EVI2A,89,120
LTK,93,115
PARP9,99,108
ARL4C,117,110
SLC17A9,97,117
CD69,112,126
MSRB3,101,114
SIGLEC1,100,109
MX2,93,130
CD207,96,108
LEAP2,97,106
TMEM37,84,121
CD300A,105,123
ANXA13,99,123
LIFR,104,110
PER3,81,112
ALDH1A3,122,101
PHYHIP,122,143
APOL2,97,112
SDC3,119,118
CD3D,92,110
CYP7B1,100,127
MS4A7,114,113
MAP4K1,76,116
ELK3,103,120
CD2,99,115
PLLP,104,111
HMCN2,95,125
KLHL5,100,134
ABCG8,95,122
AOX1,98,104
AATK,99,104
LRRC32,99,118
GLCCI1,95,103
GZMA,100,106
CTSG,95,110
APOL4,94,125
FGD2,103,110
SLAMF8,103,119
GATM,97,122
TAP2,99,96
HLA-DRA,110,120
MYO1G,90,97
EMP1,102,113
LAMC2,95,139
RAI14,86,113
PRKAR2B,81,118
HLA-DPB1,86,119
CYP3A5,94,152
EDNRA,82,110
TNFRSF12A,105,142
ENKUR,106,124
HES5,105,123
DMRTA1,107,136
FXYD3,91,133
CASQ2,90,126
MT1X,93,129
BCAT1,111,126
DPP4,98,112
CNGA1,110,133
TAGLN,98,108
GBP1P1,105,127
SELENBP1,101,115
PYCR1,111,136
PDGFRA,99,134
TPPP,96,111
TBX18,116,125
CNTN1,111,89
CLSTN3,95,129
GP1BA,91,115
CFP,89,108
ANO5,134,115
LINC00494,79,109
SLC1A7,119,119
GVINP1,105,110
SLC26A3,90,111
ANXA5,106,112
TMEM253,113,118
ADAMDEC1,92,104
RGCC,105,135
EPSTI1,94,113
TMC4,99,124
WDR72,101,119
DISP2,104,119
HK2,100,113
TCF21,100,138
ZAP70,90,146
CCL8,113,139
EREG,102,128
GJA5,108,105
BTN2A2,94,119
MADCAM1,99,120
SH2D1A,81,136
TMEM72,103,125
SMIM22,85,107
AOC3,104,137
PRSS23,98,104
SEMA3G,109,122
CD14,88,106
LINC00261,124,94
NXPE3,100,118
TMEM154,97,120
ABHD12B,93,118
MXRA8,85,141
OGN,98,124
LY6E,95,130
SOX6,97,115
RASAL3,110,133
EPHB3,98,140
SMOC2,86,143
PCSK1,84,130
CD5,88,111
SPON2,98,98
TNFRSF1B,108,133
HLA-DMB,102,115
LY9,102,107
MYC,85,119
CCL28,109,110
PRELP,103,135
MYO5A,90,141
DHRS9,81,105
IL4I1,91,126
GLP2R,95,118
SGK1,110,120
TMEM178B,77,121
SLC38A4,103,105
PSAT1,92,112
COL6A5,100,112
FFAR4,102,126
TIE1,74,134
HYAL1,94,143
NTN1,78,128
NQO1,90,101
RPS6KA2,110,134
SLC5A4,113,117
EVPL,94,106
AKAP12,82,122
ELN,100,127
MEI1,111,95
TENM4,78,101
RGS16,105,106
RNF183,96,125
NRP1,84,116
LDHB,105,126
HLA-DRB6,106,125
CCNO,88,115
PNOC,78,123
GHR,98,111
CDC25B,90,127
CHN1,115,133
TLR6,103,114
PIK3R5,103,122
ZNF532,96,105
LOX,81,119
BIRC5,108,121
LRRC8C,89,131
CD247,104,108
LRRN2,97,116
CNN2,101,127
EBI3,97,132
NFKBIA,105,108
LY96,107,128
PER1,106,137
ACADS,90,99
NFATC2,96,114
PCDH18,101,126
CPZ,106,124
HLA-DMA,110,122
DUSP6,86,131
C16orf54,84,124
LSP1,90,116
SIGLEC10,104,123
CLIC2,91,125
XDH,74,104
PRSS8,95,120
CRIP1,96,137
BMP5,102,112
SCRN1,106,109
S1PR4,94,115
ELL2,101,123
PDZRN4,98,144
SCGN,90,111
DTX1,118,107
DOCK8,117,140
AXL,103,126
NCF4,81,113
KIF12,92,107
FNDC1,104,122
PTGR1,89,113
SYT11,113,101
DDC,123,131
SERPINE2,97,127
IGDCC4,98,107
TYROBP,98,128
SH2D3C,93,123
PLS3,98,122
SCUBE1,98,137
F3,109,113
MX1,97,118
HELZ2,95,119
MDFI,107,118
LYVE1,97,96
PKIB,101,123
PTPN1,101,129
CD34,98,105
KHDRBS2,93,132
SLAMF1,122,117
WSCD1,97,123
NLRP1,101,116
DSE,86,114
CYP4F3,109,108
MAOA,99,134
GDA,94,147
DGAT1,111,120
ITPR1,100,125
CCDC3,115,135
GMFG,98,131
CYYR1,96,112
TSPAN32,92,113
ADAMTS12,108,101
NRG1,99,120
AMOTL1,104,130
PLEKHO1,94,121
CPVL,85,110
C3AR1,97,103
EPHX2,106,128
RNF150,107,116
OAS3,101,112
CLEC12A,93,132
SIT1,114,124
CRELD2,85,95
ERN2,101,124
MAF,95,126
HSPB8,110,125
GLB1L2,117,115
BCHE,100,131
AK4,102,126
ACAP1,103,114
PTPRCAP,104,106
PIEZO1,96,104
ACP5,103,120
NES,98,108
TMEM200C,92,125
MDFIC,113,127
PILRA,97,115
LIPG,95,128
CTSH,116,128
LPXN,92,102
PLEKHG2,93,118
CYP3A7,114,127
EGR2,112,128
ZBTB16,91,108
SHISA3,111,127
ST8SIA4,91,112
TSPAN1,87,98
DAAM2,100,115
GAL3ST1,79,100
BTLA,86,109
RGS13,96,110
HSPG2,109,124
MFAP4,96,107
CYP27A1,94,138
COLEC12,110,125
KCNQ5,113,116
SPHK1,105,122
SCG2,92,125
CCDC69,116,108
AQP3,115,136
WNK2,110,120
NR0B2,108,120
SEMA4A,105,125
CA9,89,123
HTRA3,111,132
TNNC2,102,149
SULT1C2,103,113
HEPACAM2,107,119
PDE9A,102,115
GAS7,96,127
LGALS1,92,128
RASGRP1,126,112
ICAM2,104,125
PYGL,105,125
ITGB7,89,122
CSTA,100,103
COL23A1,108,131
CFD,121,94
FMN2,112,119
PFKFB4,82,125
BATF,104,119
CADM1,98,141
NAGS,89,116
TNFRSF13B,92,117
MISP,112,131
GPSM3,109,120
AQP1,99,123
RUNX3,111,99
SLC46A1,116,134
SCARA5,94,112
TYRP1,99,100
PLEKHG6,95,135
TMTC1,104,111
TMEM119,97,109
LDB2,107,128
KLK12,92,143
IL12RB2,94,114
AKR7A3,103,114
HAVCR2,110,110
FOXF1,87,108
TTR,100,130
CX3CL1,95,122
GALNT15,111,116
SLC41A1,97,112
MYOM3,114,113
OLFM1,91,110
HOXD11,98,116
PTGS1,100,116
GPX7,94,128
MMP19,96,118
CASC9,112,132
TTC9,107,116
FASN,107,95
MRO,87,124
GRAP,121,125
COL17A1,104,124
TESPA1,89,120
DOCK11,110,119
APOC1,86,134
